PR.BCTDC:CYCLE_INTENSITY,nxcals_timestamp,nxcals_variable_name,nxcals_timestamp2
230,1668777520300000000,PR.BCTDC:CYCLE_INTENSITY,1668777522700000000
231,1668777574300000000,PR.BCTDC:CYCLE_INTENSITY,1668777576700000000
232,1668777628300000000,PR.BCTDC:CYCLE_INTENSITY,1668777630700000000
233,1668777682300000000,PR.BCTDC:CYCLE_INTENSITY,1668777684700000000
234,1668777736300000000,PR.BCTDC:CYCLE_INTENSITY,1668777738700000000
235,1668777790300000000,PR.BCTDC:CYCLE_INTENSITY,1668777792700000000
236,1668777844300000000,PR.BCTDC:CYCLE_INTENSITY,1668777846700000000
237,1668777898300000000,PR.BCTDC:CYCLE_INTENSITY,1668777900700000000
238,1668777952300000000,PR.BCTDC:CYCLE_INTENSITY,1668777954700000000
239,1668778006300000000,PR.BCTDC:CYCLE_INTENSITY,1668778008700000000
240,1668778060300000000,PR.BCTDC:CYCLE_INTENSITY,1668778062700000000
241,1668778114300000000,PR.BCTDC:CYCLE_INTENSITY,1668778116700000000
242,1668778168300000000,PR.BCTDC:CYCLE_INTENSITY,1668778170700000000
243,1668778222300000000,PR.BCTDC:CYCLE_INTENSITY,1668778224700000000
244,1668778276300000000,PR.BCTDC:CYCLE_INTENSITY,1668778278700000000
245,1668778330300000000,PR.BCTDC:CYCLE_INTENSITY,1668778332700000000
246,1668778384300000000,PR.BCTDC:CYCLE_INTENSITY,1668778386700000000
247,1668778438300000000,PR.BCTDC:CYCLE_INTENSITY,1668778440700000000
248,1668778492300000000,PR.BCTDC:CYCLE_INTENSITY,1668778494700000000
249,1668778546300000000,PR.BCTDC:CYCLE_INTENSITY,1668778548700000000
250,1668778654300000000,PR.BCTDC:CYCLE_INTENSITY,1668778656700000000
251,1668779807500000000,PR.BCTDC:CYCLE_INTENSITY,1668779809900000000
252,1668779853100000000,PR.BCTDC:CYCLE_INTENSITY,1668779855500000000
253,1668779898700000000,PR.BCTDC:CYCLE_INTENSITY,1668779901100000000
254,1668779944300000000,PR.BCTDC:CYCLE_INTENSITY,1668779946700000000
255,1668779989900000000,PR.BCTDC:CYCLE_INTENSITY,1668779992300000000
256,1668780035500000000,PR.BCTDC:CYCLE_INTENSITY,1668780037900000000
257,1668780081100000000,PR.BCTDC:CYCLE_INTENSITY,1668780083500000000
258,1668780126700000000,PR.BCTDC:CYCLE_INTENSITY,1668780129100000000
259,1668780172300000000,PR.BCTDC:CYCLE_INTENSITY,1668780174700000000
260,1668780217900000000,PR.BCTDC:CYCLE_INTENSITY,1668780220300000000
261,1668780263500000000,PR.BCTDC:CYCLE_INTENSITY,1668780265900000000
262,1668780309100000000,PR.BCTDC:CYCLE_INTENSITY,1668780311500000000
263,1668780354700000000,PR.BCTDC:CYCLE_INTENSITY,1668780357100000000
264,1668780400300000000,PR.BCTDC:CYCLE_INTENSITY,1668780402700000000
265,1668780445900000000,PR.BCTDC:CYCLE_INTENSITY,1668780448300000000
266,1668780491500000000,PR.BCTDC:CYCLE_INTENSITY,1668780493900000000
267,1668780537100000000,PR.BCTDC:CYCLE_INTENSITY,1668780539500000000
268,1668780582700000000,PR.BCTDC:CYCLE_INTENSITY,1668780585100000000
269,1668780628300000000,PR.BCTDC:CYCLE_INTENSITY,1668780630700000000
270,1668780673900000000,PR.BCTDC:CYCLE_INTENSITY,1668780676300000000
271,1668780719500000000,PR.BCTDC:CYCLE_INTENSITY,1668780721900000000
272,1668780765100000000,PR.BCTDC:CYCLE_INTENSITY,1668780767500000000
273,1668780810700000000,PR.BCTDC:CYCLE_INTENSITY,1668780813100000000
274,1668781266700000000,PR.BCTDC:CYCLE_INTENSITY,1668781269100000000
275,1668781312300000000,PR.BCTDC:CYCLE_INTENSITY,1668781314700000000
276,1668781357900000000,PR.BCTDC:CYCLE_INTENSITY,1668781360300000000
277,1668781403500000000,PR.BCTDC:CYCLE_INTENSITY,1668781405900000000
278,1668781449100000000,PR.BCTDC:CYCLE_INTENSITY,1668781451500000000
279,1668781494700000000,PR.BCTDC:CYCLE_INTENSITY,1668781497100000000
280,1668781540300000000,PR.BCTDC:CYCLE_INTENSITY,1668781542700000000
281,1668781585900000000,PR.BCTDC:CYCLE_INTENSITY,1668781588300000000
282,1668781631500000000,PR.BCTDC:CYCLE_INTENSITY,1668781633900000000
283,1668781677100000000,PR.BCTDC:CYCLE_INTENSITY,1668781679500000000
284,1668781722700000000,PR.BCTDC:CYCLE_INTENSITY,1668781725100000000
285,1668781768300000000,PR.BCTDC:CYCLE_INTENSITY,1668781770700000000
286,1668781813900000000,PR.BCTDC:CYCLE_INTENSITY,1668781816300000000
287,1668781859500000000,PR.BCTDC:CYCLE_INTENSITY,1668781861900000000
288,1668781905100000000,PR.BCTDC:CYCLE_INTENSITY,1668781907500000000
289,1668781950700000000,PR.BCTDC:CYCLE_INTENSITY,1668781953100000000
290,1668782037100000000,PR.BCTDC:CYCLE_INTENSITY,1668782039500000000
291,1668782091100000000,PR.BCTDC:CYCLE_INTENSITY,1668782093500000000
292,1668782145100000000,PR.BCTDC:CYCLE_INTENSITY,1668782147500000000
293,1668782199100000000,PR.BCTDC:CYCLE_INTENSITY,1668782201500000000
294,1668782253100000000,PR.BCTDC:CYCLE_INTENSITY,1668782255500000000
295,1668782847100000000,PR.BCTDC:CYCLE_INTENSITY,1668782849500000000
296,1668782901100000000,PR.BCTDC:CYCLE_INTENSITY,1668782903500000000
297,1668782955100000000,PR.BCTDC:CYCLE_INTENSITY,1668782957500000000
298,1668783009100000000,PR.BCTDC:CYCLE_INTENSITY,1668783011500000000
299,1668783063100000000,PR.BCTDC:CYCLE_INTENSITY,1668783065500000000
300,1668783117100000000,PR.BCTDC:CYCLE_INTENSITY,1668783119500000000
301,1668783171100000000,PR.BCTDC:CYCLE_INTENSITY,1668783173500000000
302,1668783225100000000,PR.BCTDC:CYCLE_INTENSITY,1668783227500000000
303,1668783279100000000,PR.BCTDC:CYCLE_INTENSITY,1668783281500000000
304,1668783333100000000,PR.BCTDC:CYCLE_INTENSITY,1668783335500000000
305,1668783387100000000,PR.BCTDC:CYCLE_INTENSITY,1668783389500000000
306,1668783441100000000,PR.BCTDC:CYCLE_INTENSITY,1668783443500000000
307,1668783495100000000,PR.BCTDC:CYCLE_INTENSITY,1668783497500000000
308,1668783549100000000,PR.BCTDC:CYCLE_INTENSITY,1668783551500000000
309,1668783603100000000,PR.BCTDC:CYCLE_INTENSITY,1668783605500000000
310,1668783657100000000,PR.BCTDC:CYCLE_INTENSITY,1668783659500000000
311,1668783711100000000,PR.BCTDC:CYCLE_INTENSITY,1668783713500000000
312,1668783981100000000,PR.BCTDC:CYCLE_INTENSITY,1668783983500000000
313,1668784035100000000,PR.BCTDC:CYCLE_INTENSITY,1668784037500000000
314,1668784089100000000,PR.BCTDC:CYCLE_INTENSITY,1668784091500000000
315,1668784737100000000,PR.BCTDC:CYCLE_INTENSITY,1668784739500000000
316,1668784791100000000,PR.BCTDC:CYCLE_INTENSITY,1668784793500000000
317,1668785385100000000,PR.BCTDC:CYCLE_INTENSITY,1668785387500000000
318,1668785439100000000,PR.BCTDC:CYCLE_INTENSITY,1668785441500000000
319,1668785493100000000,PR.BCTDC:CYCLE_INTENSITY,1668785495500000000
320,1668785547100000000,PR.BCTDC:CYCLE_INTENSITY,1668785549500000000
321,1668785601100000000,PR.BCTDC:CYCLE_INTENSITY,1668785603500000000
322,1668785655100000000,PR.BCTDC:CYCLE_INTENSITY,1668785657500000000
323,1668785709100000000,PR.BCTDC:CYCLE_INTENSITY,1668785711500000000
324,1668785871100000000,PR.BCTDC:CYCLE_INTENSITY,1668785873500000000
325,1668785925100000000,PR.BCTDC:CYCLE_INTENSITY,1668785927500000000
326,1668785979100000000,PR.BCTDC:CYCLE_INTENSITY,1668785981500000000
327,1668786033100000000,PR.BCTDC:CYCLE_INTENSITY,1668786035500000000
328,1668786087100000000,PR.BCTDC:CYCLE_INTENSITY,1668786089500000000
329,1668786141100000000,PR.BCTDC:CYCLE_INTENSITY,1668786143500000000
330,1668786195100000000,PR.BCTDC:CYCLE_INTENSITY,1668786197500000000
331,1668786249100000000,PR.BCTDC:CYCLE_INTENSITY,1668786251500000000
332,1668786303100000000,PR.BCTDC:CYCLE_INTENSITY,1668786305500000000
333,1668786357100000000,PR.BCTDC:CYCLE_INTENSITY,1668786359500000000
334,1668786411100000000,PR.BCTDC:CYCLE_INTENSITY,1668786413500000000
335,1668786465100000000,PR.BCTDC:CYCLE_INTENSITY,1668786467500000000
336,1668786519100000000,PR.BCTDC:CYCLE_INTENSITY,1668786521500000000
337,1668786573100000000,PR.BCTDC:CYCLE_INTENSITY,1668786575500000000
338,1668786627100000000,PR.BCTDC:CYCLE_INTENSITY,1668786629500000000
339,1668786681100000000,PR.BCTDC:CYCLE_INTENSITY,1668786683500000000
340,1668786735100000000,PR.BCTDC:CYCLE_INTENSITY,1668786737500000000
341,1668786789100000000,PR.BCTDC:CYCLE_INTENSITY,1668786791500000000
342,1668786843100000000,PR.BCTDC:CYCLE_INTENSITY,1668786845500000000
343,1668786897100000000,PR.BCTDC:CYCLE_INTENSITY,1668786899500000000
